County,FIPS,County Center X,County Center Y,Consortium,Calendar Year,CalFresh Eligibles CY,PRI Estimate Frequency,5 Year Estimate,PRI
San Diego,US-06073,-116.693716,33.019645,CalWIN,2018,"446,259",Annual Est.,2018,59.6%
San Francisco,US-06075,-122.4847727,37.759845,CalWIN,2018,"88,442",Annual Est.,2018,56.3%
San Joaquin,US-06077,-120.9449271,37.889845,C-IV,2018,"128,573",Annual Est.,2018,78.4%
San Luis Obispo,US-06079,-120.1080592,35.34633,CalWIN,2018,"39,567",Annual Est.,2018,41.2%
San Mateo,US-06081,-122.2406398,37.407705,CalWIN,2018,"63,891",Annual Est.,2018,36.6%
Santa Barbara,US-06083,-120.0351675,34.743715,CalWIN,2018,"65,112",Annual Est.,2018,60.9%
Santa Clara,US-06085,-121.6161794,37.18939,CalWIN,2018,"163,302",Annual Est.,2018,49.5%
Santa Cruz,US-06087,-122.0401593,37.06834,CalWIN,2018,"34,905",Annual Est.,2018,71.8%
Shasta,US-06089,-122.0883555,40.735175,C-IV,2018,"29,445",Annual Est.,2018,78.2%
Sierra,US-06091,-120.0617973,39.58418,C-IV,2018,397,5-yr. Est.,2014-2018,62.0%
Siskiyou,US-06093,-122.5559892,41.5008525,C-IV,2018,"9,548",5-yr. Est.,2014-2018,66.9%
Solano,US-06095,-121.6688337,38.2894915,CalWIN,2018,"39,719",Annual Est.,2018,95.8%
Sonoma,US-06097,-122.7518161,38.481733,CalWIN,2018,"61,877",Annual Est.,2018,46.9%
Stanislaus,US-06099,-120.8981857,37.606095,C-IV,2018,"96,779",Annual Est.,2018,80.9%
Sutter,US-06101,-121.714735,39.02038,C-IV,2018,"14,808",Annual Est.,2018,78.9%
Tehama,US-06103,-122.6595518,40.125305,C-IV,2018,"15,969",5-yr. Est.,2014-2018,56.5%
Trinity,US-06105,-123.5069171,40.672495,C-IV,2018,"3,017",5-yr. Est.,2014-2018,54.0%
Tulare,US-06107,-119.0889841,36.266965,CalWIN,2018,"117,445",Annual Est.,2018,98.8%
Tuolumne,US-06109,-120.0954221,38.03354,C-IV,2018,"8,475",5-yr Estimate,2014-2018,56.0%
Ventura,US-06111,-119.0838699,34.47326,CalWIN,2018,"102,328",Annual Est.,2018,65.7%
Yolo,US-06113,-121.9008022,38.619495,CalWIN,2018,"53,047",Annual Est.,2018,35.1%
Yuba,US-06115,-121.499162,39.278915,C-IV,2018,"16,063",Annual Est.,2018,79.8%
